1;2
57;((.(..(.(....).(....).)..).(....).)) 
50;.....((((.(((((....))....))).(((....))).)).))....((((.(((....)...)).(((....))).))..))....................
60;.....((((.(...(.((((.(.((((.((.((((.((.(((....))).).)))))).)))))....).)))).)...).))))....................
61;.....((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).....
64;((...((....((.....((.........((..............................))...............)).........)).......))....))...
67;......(.........((((.....)))).........)...................... 
71;....((....((....((....((..((..((...))..))....))......)).......)).........)).............
72;..((((((((.......(.((((((....)))))).(((((((....))))))).).......))))))))..
77;.....(((((((.(((((....)))).)))(((((.((..((((....))))..(((((......)))))..)).))))))))))....................
79;......(.((((.((((....(...((((.(....).))))...)))))..((......((((....)))))).)))).).....................
87;....((((((((....((..(...................)..((...((....))...((....))........))......))))))))))....
88;....((((((((.(....)).).).)))))....
89;......((.((..((..(...(.((.((....))))..)...(.((..((....))..))..)...).))..)))).....................
92;.......((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).......
52;.((......((......))......((......((......))......((......))......))......)).....
